GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Campus-Service,com.rms.service,AddressService,0,51,0,0,0,15,0,8,0,8
Campus-Service,com.rms.service,BuildingService,0,50,0,0,0,15,0,8,0,8
Campus-Service,com.rms.service,AmenityService,0,50,0,0,0,15,0,8,0,8
Campus-Service,com.rms.service,ResourceMetadataService,29,0,0,0,8,0,4,0,4,0
Campus-Service,com.rms.service,CampusService,0,50,0,0,0,15,0,8,0,8
Campus-Service,com.rms.service,RoomStatusService,59,0,0,0,15,0,8,0,8,0
Campus-Service,com.rms.service,RoomService,59,0,0,0,15,0,8,0,8,0
Campus-Service,com.rms,CampusApplication,8,0,0,0,3,0,2,0,2,0
Campus-Service,com.rms.model,AmenityStatus,9,39,0,0,0,4,2,2,2,2
Campus-Service,com.rms.model,Building,343,30,46,0,9,11,43,3,20,3
Campus-Service,com.rms.model,Amenity,158,15,24,0,4,6,22,3,10,3
Campus-Service,com.rms.model,Room,357,0,42,0,20,0,44,0,23,0
Campus-Service,com.rms.model,Campus,401,36,50,0,11,13,49,3,24,3
Campus-Service,com.rms.model,ResourceMetadata,248,3,30,0,8,1,32,1,17,1
Campus-Service,com.rms.model,AmenityType,9,109,0,0,0,11,2,2,2,2
Campus-Service,com.rms.model,RoomStatus,264,0,30,0,16,0,34,0,19,0
Campus-Service,com.rms.model,Address,272,48,48,0,5,11,38,5,14,5
Campus-Service,com.rms.controller,AmenityController,42,0,0,0,13,0,8,0,8,0
Campus-Service,com.rms.controller,AddressController,43,0,0,0,13,0,8,0,8,0
Campus-Service,com.rms.controller,RoomStatusController,42,0,0,0,13,0,8,0,8,0
Campus-Service,com.rms.controller,CampusController,42,0,0,0,13,0,8,0,8,0
Campus-Service,com.rms.controller,BuildingController,42,0,0,0,13,0,8,0,8,0
Campus-Service,com.rms.controller,RoomController,42,0,0,0,13,0,8,0,8,0
Campus-Service,com.rms.aspect,AspectClass,43,0,0,0,16,0,8,0,8,0
